So.,1955-10-09 00:00:00,Unnamed: 2,Unnamed: 3,3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12,13,Unnamed: 15,Unnamed: 16,16,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
So.,1958-03-23,,,,,5.0,,,,,,,,,,,,,,,20.0,,22.0,,,,,27.0,,,,,,,,,,,,39.0,,,,43.0,,,,,,,,
So.,1958-03-30,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,28.0,,30.0,,,,34.0,,,,38.0,,,,,,,,46.0,,,,,
Mo.,1958-04-07,,,,,,,,,,,,,,,,,,,,,,,23,24.0,,,,,29.0,,,,,,,36.0,,,,,,,,44.0,,,,,49.0,,
So.,1958-04-13,,,,,,,,,,10.0,,,13.0,,,16.0,,,,,,,,,,,,28.0,29.0,,,,,,,,,,,,,,,,,,47.0,,,,
So.,1958-04-20,,,3.0,,5.0,,,,,,,,,,,,,,,,,22.0,,,25.0,,27.0,,,,,,,,,,,,,,,,,,,,,,49.0,,
So.,1958-04-27,1.0,,,,,,,,9.0,,,,,,,,,,,,21.0,,,,25.0,,,,,30.0,,,,,,,,38.0,,,,,,,,,,,,,
So.,1958-05-04,,,,,,,,,,10.0,,,,,15.0,,,,,,,,,,,,,,,,31.0,32.0,,,,,,38.0,,,,,,,,,,48.0,,,
So.,1958-05-11,,2.0,,,,,7.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,32.0,,,,36.0,,38.0,,,,,,,,,,,,,
So.,1958-05-18,,,,,,,,,,,,,,,,,,18.0,,,21.0,,,,,26.0,,,,,,,,34.0,,,,,,,41.0,,,,,,,,49.0,,
So.,1958-05-25,,,3.0,,,6.0,,8.0,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,37.0,38.0,,,,,,,,,,,,,
So.,1958-06-01,,,,,,,,,,,,,,,,,,,,,,,,24.0,25.0,,,,,30.0,31.0,,33.0,,,,,,,,,,43.0,,,,,,,,
So.,1958-06-08,,,,,,,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,32.0,,34.0,,,,,,,,,,,,46.0,,48.0,,,
So.,1958-06-15,,,,,,,,,,,,,13.0,,,,,,,,,,,24.0,,,,,,30.0,,32.0,33.0,,,,,,,,,,,,,46.0,,,,,
So.,1958-06-22,,,,,,,,,,,,,,,,,17.0,,,,,,,24.0,,26.0,,,,30.0,,32.0,,,,,37.0,,,,,,,,,,,,,,
So.,1958-06-29,,,,,,,,8.0,9.0,10.0,,,,,15.0,,,,,,,,,,,,27.0,,,,,,,,,36.0,,,,,,,,,,,,,,,
So.,1958-07-06,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,28.0,,,31.0,,33.0,,,,,,39.0,,,,,,,46.0,,,,,
So.,1958-07-13,,,,,,,,,,,,,,,,,17.0,18.0,19.0,,21.0,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,49.0,,
So.,1958-07-20,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,29.0,30.0,,,,,,,,,,,,,,44.0,,,,,49.0,,
